title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
,tv,,2017,,,,
"Bear Grylls: Extreme Survival Caught on Camera",tv,Reality,2014,tt3891132,7.6,13,
"Mysteries of the Missing",tv,Documentary,2017,tt7493428,7.1,115,
"Jul i Blodfjell",tv,"Comedy, Crime, Horror",2017,tt7704636,7.7,1158,
"The Murder of Laci Peterson",tv,"Crime, Documentary",2017,tt7293016,7.3,1545,
Warrior,tv,"Action, Crime, Drama",2019,tt5743796,8.4,50147,
"Odd Squad",tv,"Action, Adventure, Comedy",2014,tt3900614,7.4,1895,
Gunpowder,tv,"Drama, History",2017,tt6128262,6.5,12329,
"Forbidden History",tv,"Documentary, History",2013,tt4192786,6.1,369,
"Världens tuffaste jobb med Carina Berg",tv,Reality-TV,2017,tt7282386,7.7,17,
"Abandoned Engineering",tv,Documentary,2016,tt6667634,7.6,398,
"Texas Trocas",tv,Reality-TV,2014,tt3978696,8.4,6,
"Un gallo para Esculapio",tv,"Crime, Drama, Mystery",2017,tt7077616,8.2,939,
"Grave Mysteries",tv,Crime,2017,tt7390750,7.2,97,
"Evil Things",tv,Horror,2017,tt7324540,5.8,361,
"Playhouse Masters",tv,Reality-TV,2016,tt6235882,6.9,14,
"Love It or List It Australia",tv,Reality-TV,2017,tt9296576,7.6,105,
"Mashkiny strashilki",tv,"Animation, Family",2014,tt4570676,6,80,
"Criminal Confessions",tv,"Crime, Documentary, Drama",2017,tt7449828,7.8,193,
"Azja Express",tv,Reality-TV,2016,tt7172670,5.5,22,
"Hey Duggee",tv,"Animation, Comedy, Family",2014,tt4291050,8.8,1578,
"Evil Twins",tv,"Crime, Documentary",2012,tt2287998,6.8,137,
"Haunted Towns",tv,Reality-TV,2017,tt7260852,5.3,265,
,tv,Reality,2017,,,,
"Garage Rehab",tv,Documentary,2017,tt7318880,6.2,385,
"Island Life",tv,Reality-TV,2015,tt5097258,7.1,75,
"Grizzy and the Lemmings",tv,"Adventure, Animation, Comedy",2016,tt6717058,7.2,1172,
"Rosario Tijeras",tv,"Action, Crime, Drama",2016,tt6340304,6.2,570,
"Harley Quinn",tv,"Action, Adventure, Animation",2019,tt7658402,8.4,41075,
"The Jellies!",tv,"Animation, Comedy",2017,tt6898698,6.3,352,
"Deadline: Crime with Tamron Hall",tv,"Crime, Documentary",2013,tt2632366,7.4,272,
Brille,tv,"Comedy, Game-Show",2012,tt2150202,7.3,569,
"Home Alone",tv,Crime,2017,tt7444776,6.7,117,
,tv,,2017,,,,
"Halloween Baking Championship",tv,"Family, Reality-TV",2015,tt5227038,7.6,524,
"I'm Not a Robot",tv,"Comedy, Romance, Sci-Fi",2017,tt7521778,8,8689,
Unikitty!,tv,"Action, Animation, Comedy",2017,tt6874502,5.6,1680,
"Lady, La Vendedora de Rosas",tv,Biography,2015,tt5049938,7.9,372,
"Legend of Croc Gold",tv,Reality-TV,2016,tt6317528,6.3,64,
"Finding Escobar's Millions",tv,Documentary,2017,tt7296380,3.9,398,
"Building Alaska",tv,Documentary,2012,tt2550284,6,130,
"Evil, I",tv,Crime,2012,tt2357837,7.6,69,
"Wacky Races",tv,"Animation, Family, Fantasy",2017,tt5520388,5,270,
"90 Day Fiancé: What Now?",tv,Reality-TV,2017,tt8718438,5.5,229,
Unexpected,tv,Reality-TV,2017,tt7789780,5.1,283,
"Game of Stones",tv,Reality-TV,2014,tt3780362,6.7,133,
"Tiny House, Big Living",tv,Reality-TV,2014,tt4321400,6.5,130,
,tv,Documentary,2017,,,,
"Find It Fix It Flog It",tv,Reality-TV,2016,tt9710812,7.5,122,
"Who Killed Tupac?",tv,"Biography, Crime, Documentary",2017,tt7623616,5.7,237,
"Village of the Damned",tv,Reality-TV,2017,tt7895532,7.4,16,
"How It Really Happened with Jesse L. Martin",tv,"Crime, Documentary, Mystery",2016,tt6186030,7.2,310,
,tv,"Documentary, Talk",2016,,,,
"The Heroic Quest of the Valiant Prince Ivandoe",tv,"Action, Adventure, Animation",2017,tt8649544,7.3,293,
Titans,tv,"Action, Adventure, Crime",2018,tt1043813,7.5,116385,
"Neste sommer",tv,Comedy,2014,tt3446786,7.6,1335,
"Társas játék",tv,"Comedy, Drama, Romance",2011,tt1968961,7.8,1060,
"Christmas Cookie Challenge",tv,"Game-Show, Reality-TV",2017,tt7674544,7,191,
"Cake Hunters",tv,Reality-TV,2015,tt6980136,6.2,16,
"Animal Cribs",tv,Reality-TV,2017,tt7588316,8.3,183,
"Property Brothers at Home",tv,"Documentary, Reality-TV",2014,tt4210920,6.8,310,
,tv,Comedy,2017,,,,
"Flip or Flop Fort Worth",tv,Reality-TV,2017,tt7459336,7.9,121,
Mosaic,tv,"Crime, Drama, Mystery",2018,tt5056958,6.4,3919,
"Texas Metal",tv,Reality-TV,2017,tt7614908,7.1,269,
"2 Dope Queens",tv,"Comedy, Talk-Show",2018,tt7246394,5.9,712,
"Street Outlaws: Memphis",tv,Reality-TV,2018,tt9177338,6.1,143,
"Mayans M.C.",tv,"Crime, Drama, Thriller",2018,tt5715524,7.5,26214,
,tv,,2017,,,,
"Family by the Ton",tv,Reality-TV,2018,tt7826126,6.5,115,
"Goblin Works Garage",tv,Reality-TV,2018,tt11058052,6,123,
"Love After Lockup",tv,"Reality-TV, Romance",2018,tt7721986,6.8,854,
Succession,tv,"Comedy, Drama",2018,tt7660850,8.8,317723,
,tv,Comedy,2018,,,,
"Seeking Sister Wife",tv,Reality-TV,2018,tt7988900,4.1,302,
"Jodi Arias: An American Murder Mystery",tv,"Crime, Documentary",2018,tt7856156,7,760,
"Earth to Luna!",tv,"Animation, Family, Musical",2014,tt6428704,7.6,161,
"Wyatt Cenac's Problem Areas",tv,"Comedy, Documentary",2018,tt7599936,6.8,481,
"Restored by the Fords",tv,Reality-TV,2016,tt7875628,6.2,299,
"People Magazine Investigates",tv,"Crime, Documentary",2016,tt5594440,7.6,1177,
"Gold Rush: White Water",tv,Reality-TV,2018,tt7749176,6.7,1040,
"Sydney Harbour Patrol",tv,Documentary,2016,tt6156314,7.7,17,
"James Patterson's Murder Is Forever",tv,"Crime, Drama",2018,tt7467436,6.7,181,
Hidden,tv,"Crime, Drama, Mystery",2018,tt7217374,7.3,5890,
"Tesla's Death Ray: A Murder Declassified",tv,"Documentary, Reality-TV",2017,tt7965956,5.5,149,
"Beachfront Bargain Hunt",tv,"Documentary, Family",2013,tt3672590,6.6,126,
"Ed Stafford: Into the Unknown",tv,"Adventure, Documentary",2015,tt5141658,8,302,
"Catherine the Great",tv,"Biography, Drama, History",2019,tt7243884,6.2,6795,
"Bride Killa",tv,Crime,2018,tt7502460,6.7,62,
,tv,"Talk, Documentary",2018,,,,
"Who Killed Jane Doe?",tv,"Crime, Documentary",2016,tt5934392,7.5,123,
"The Perfect Suspect",tv,Crime,2017,tt7766172,7,54,
"The Little Drummer Girl",tv,"Drama, Thriller",2018,tt7598448,7.4,16280,
"The Radical Story of Patty Hearst",tv,Documentary,2018,tt8070516,7.5,299,
"Dorothy and the Wizard of Oz",tv,"Adventure, Animation, Family",2017,tt7050978,5.9,165,
"H2O: Mermaid Adventures",tv,"Adventure, Animation, Comedy",2015,tt4610750,5.4,303,
,tv,Reality,2017,,,,
"Flip or Flop Nashville",tv,"Comedy, Drama, Reality-TV",2018,tt7365526,7.1,99,
,tv,Documentary,2018,,,,
"A Discovery of Witches",tv,"Drama, Fantasy, Romance",2018,tt2177461,7.8,69841,
"True Conviction",tv,"Crime, Drama",2018,tt7817212,6.1,172,
"Kiss of Death",tv,Drama,2017,tt7371948,7.4,40,
"State of Play",tv,Documentary,2013,tt3378080,7,79,
"The Zen Diaries of Garry Shandling",tv,"Biography, Comedy, Documentary",2018,tt7860890,8.4,2262,
"Sommaren med släkten",tv,Comedy,2017,tt6647016,7.1,909,
"Pope: The Most Powerful Man in History",tv,"Biography, Documentary, Drama",2018,tt6903234,7.2,331,
"American Dynasties: The Kennedys",tv,"Biography, Documentary, History",2018,tt6903230,7.8,544,
Woman,tv,Drama,2017,tt7661932,6.7,1870,
"Street Outlaws: No Prep Kings",tv,Documentary,2018,tt20124296,7,28,
"Twin Turbos",tv,Action,2018,tt8261918,6.8,64,
"The Great Pottery Throw Down",tv,"Game-Show, Reality-TV",2015,tt6417190,8.6,1687,
"Roadkill Garage",tv,Reality-TV,2016,tt12030356,9,139,
"The Golden State Killer: It's Not Over",tv,Documentary,2018,tt8336664,6.8,313,
"My Lottery Dream Home",tv,Reality-TV,2015,tt4508624,6.7,813,
"Log Cabin Living",tv,Reality-TV,2014,tt3776412,7,51,
"Mary & Mike",tv,"Drama, Thriller",2018,tt7969272,7.4,141,
"Megalo Box",tv,"Action, Animation, Drama",2018,tt7965802,7.8,4235,
,tv,Drama,2003,,,,
"Outback Opal Hunters",tv,Documentary,2018,tt8211564,7,337,
"Unmasking a Killer",tv,Documentary,2018,tt8810506,6.9,215,
Camping,tv,Comedy,2018,tt8002604,5.1,3390,
"Christiane Amanpour Sex & Love Around the World",tv,Documentary,2018,tt8205180,7.4,949,
"My Brilliant Friend",tv,Drama,2018,tt7278862,8.6,21652,
Terapie,tv,Drama,2011,tt1990040,7.9,178,
"Beauty Queen Murders",tv,Documentary,2013,tt3078774,6.5,124,
"Apple & Onion",tv,"Adventure, Animation, Comedy",2016,tt8019790,6.3,2472,
"Expedition Unknown: Hunt for ExtraTerrestrials",tv,Reality-TV,2017,tt6903244,7.7,327,
"Pool Kings",tv,Reality-TV,2016,tt5797926,7.3,93,
Danskebåten,tv,"Comedy, Reality-TV",2018,tt8215252,8.1,24,
"El Maestro",tv,"Drama, Music",2017,tt7328848,7.9,82,
"Dangerous Liaisons",tv,"Drama, Romance",2016,tt5349022,7.8,1960,
"Ballmastrz 9009",tv,"Action, Animation, Comedy",2018,tt8170404,6.8,816,
,tv,,2018,,,,
"Ja, vi elsker camping",tv,Reality-TV,2017,tt7272060,7.8,30,
,tv,"Crime, Documentary, Drama, Reality",2018,,,,
"Miracle Workers",tv,"Comedy, Drama, Fantasy",2019,tt7529770,7.1,20274,
"Godfather of Harlem",tv,"Crime, Drama",2019,tt8080122,8.1,23582,
"Legendary Locations",tv,Documentary,2017,tt8640952,7.7,336,
"Being Serena",tv,"Documentary, Sport",2018,tt8210820,6.3,445,
Sent,tv,Comedy,2017,tt6738438,5.1,41,
Rattled,tv,Reality-TV,2016,tt6131120,4.8,59,
"Swamp Thing",tv,"Horror, Sci-Fi",2019,tt8362852,7.3,28688,
"Engineering Catastrophes",tv,Documentary,2018,tt8566938,6.8,185,
"Boise Boys",tv,Reality-TV,2017,tt7122124,8.2,274,
"Tytgat Chocolat",tv,"Drama, Family, Romance",2017,tt7388652,7.4,206,
"A Very English Scandal",tv,"Biography, Comedy, Crime",2018,tt6938856,7.7,17549,
"Miss Sherlock",tv,"Crime, Drama, Mystery",2018,tt7755494,7,1321,
"Tuca & Bertie",tv,"Animation, Comedy",2019,tt8036272,7.4,8845,
"The Killer Beside Me",tv,Documentary,2018,tt8337704,7.2,220,
"Dead of Night",tv,Crime,2018,tt7956684,7.3,125,
"What's Wrong with Secretary Kim",tv,"Comedy, Mystery, Romance",2018,tt8242904,8,22315,
Legacies,tv,"Adventure, Drama, Fantasy",2018,tt8103070,7.2,39904,
"UFOs: The Lost Evidence",tv,Documentary,2017,tt6675556,6.7,308,
"Doom Patrol",tv,"Action, Adventure, Comedy",2019,tt8416494,7.7,61801,
Pennyworth,tv,"Action, Crime, Drama",2019,tt8425532,7.8,19089,
"City on a Hill",tv,"Crime, Drama, Thriller",2019,tt7187044,7.6,16241,
Hunters,tv,"Crime, Drama, Mystery",2020,tt7456722,7.2,54313,
Mexicanicos,tv,Reality-TV,2014,tt6786626,8.6,32,
"1968: The Year That Changed America",tv,"Documentary, History",2018,tt6903222,7.7,330,
"Wild Frank: Discovery Max",tv,"Adventure, Documentary",2014,tt3733108,7.5,139,
"On the Spectrum",tv,"Comedy, Drama",2018,tt8178684,8.5,420,
"Ed Stafford: Left For Dead",tv,Reality-TV,2017,tt7613210,8.1,256,
"Pretty Little Liars: The Perfectionists",tv,"Crime, Drama, Mystery",2019,tt7413448,6.8,6863,
"Joe Pera Talks with You",tv,"Comedy, Short",2018,tt8199790,8.9,3931,
"Dead North",tv,"Crime, Documentary",2018,tt8465938,7.4,333,
"Alaska Gold Diggers",tv,Reality-TV,2013,tt3311582,4.9,47,
"Dodo Heroes",tv,"Documentary, Reality-TV",2018,tt8559852,8.1,82,
Kongsvikklinikken,tv,Comedy,2018,tt8519578,6,45,
,tv,"Documentary, Crime, Reality",2017,,,,
"The Wonderland Murders",tv,"Crime, Documentary",2018,tt7364546,6.9,232,
,tv,"Drama, Talk",2018,,,,
"Hidden Potential",tv,Reality-TV,2017,tt8341266,7.3,192,
"The Mind of a Murderer",tv,Crime,2015,tt4374302,6.1,182,
"The Purge",tv,"Action, Drama, Horror",2018,tt6110648,6.6,20530,
"Extinct or Alive",tv,"Adventure, Documentary, Mystery",2018,tt8537104,7.5,421,
"The 2000s",tv,Documentary,2018,tt8651972,8,1096,
Kindergarten,tv,Reality-TV,2001,tt0787383,8.8,105,
"Wellington Paranormal",tv,"Comedy, Crime, Fantasy",2018,tt6109562,7.6,8647,
,tv,,2018,,,,
"Girl Meets Farm",tv,Documentary,2018,tt8510610,6.5,277,
"My ID Is Gangnam Beauty",tv,"Comedy, Drama, Romance",2018,tt8585954,7.2,7335,
Millennium,tv,"Action, Crime, Mystery",2010,tt1634549,8.3,10790,
,tv,,1992,,,,
Latela,tv,"Documentary, Reality-TV",2013,tt2886594,7.8,79,
"Holmes and Holmes",tv,Reality-TV,2016,tt8001366,7.8,112,
Stargirl,tv,"Action, Adventure, Crime",2020,tt8722888,7.1,21422,
"Dr. Pimple Popper",tv,Reality-TV,2018,tt6045142,6.7,1381,
"Gibo to Musume no Blues",tv,Family,2018,tt8685828,7.4,446,
,tv,Documentary,2019,,,,
"The Shop",tv,Talk-Show,2018,tt8755712,6.8,1151,
Outback,tv,Documentary,2018,tt8668706,7,32,
"Help! My House Is Haunted",tv,"Fantasy, Reality-TV",2018,tt7924262,5.1,529,
"Projekt Lady",tv,Reality-TV,2016,tt28656841,,,PL
"Talking Tom and Friends",tv,"Adventure, Animation, Comedy",2014,tt4648640,6,763,
"Say Yes to the Dress UK",tv,Reality-TV,2016,tt6550346,5.3,93,
"Ik weet wie je bent",tv,"Crime, Drama, Mystery",2018,tt8242562,7.2,668,
"Summer Camp Island",tv,"Adventure, Animation, Comedy",2018,tt8146760,7.7,2247,
"The Gilded Age",tv,Drama,2022,tt4406178,8.1,42084,
"Random Acts of Flyness",tv,"Comedy, Drama, Fantasy",2018,tt7942806,6.8,837,
"Pamela Smart: An American Murder Mystery",tv,"Crime, Documentary",2018,tt8757062,6.6,290,
"The Trap",tv,"Crime, Drama",2018,tt8542132,6.5,706,
,tv,Drama,2015,,,,
Scaled,tv,Reality-TV,2018,tt9567342,7.6,36,
"Cleo & Cuquin",tv,"Animation, Family",2018,tt7956374,7.1,136,
"Ex on the Beach DK",tv,Reality-TV,2018,tt23159104,3.8,5,
,tv,,2016,,,,
"Eerie: Invisible Face",tv,Drama,2018,tt8924872,6.6,71,
"Roswell, New Mexico",tv,"Drama, Romance, Sci-Fi",2019,tt7588054,6.3,14749,
Autonomies,tv,Drama,2018,tt8365214,6.8,141,
"The Crimson Rivers",tv,"Crime, Drama, Mystery",2018,tt7349016,6.9,2288,
"Building Off the Grid: Big Sky Ranch",tv,Reality-TV,2016,tt6301100,7.1,16,
"Building Off the Grid",tv,Documentary,2014,tt6780072,7,213,
"Bake It Like Buddy",tv,"Game-Show, Reality-TV",2018,tt8772782,5,17,
"Arthurs Gesetz",tv,Comedy,2018,tt6516354,7.2,417,
,tv,,2018,,,,
Kizim,tv,Drama,2018,tt8961058,6.6,1268,
"Chandra Levy: An American Murder Mystery",tv,"Crime, Documentary",2017,tt7293240,6.5,330,
,tv,Talk,2018,,,,
,tv,Reality,2016,,,,
"All American",tv,"Drama, Sport",2018,tt7414406,7.6,15662,
"Saving My Tomorrow",tv,"Documentary, Family",2014,tt4195814,6.5,72,
"Cutie Cubies",tv,"Adventure, Animation, Sci-Fi",2017,tt7520728,6.7,19,
"Forbidden: Dying for Love",tv,Drama,2015,tt5310130,7.4,156,
"The Righteous Gemstones",tv,"Comedy, Drama",2019,tt8634332,8.1,57347,
"The Bureau of Magical Things",tv,"Drama, Family, Fantasy",2018,tt7153034,6.9,3405,
"Lovecraft Country",tv,"Drama, Fantasy, Horror",2020,tt6905686,7.1,49193,
"Blinded by the Lights",tv,"Crime, Drama",2018,tt6520930,7.8,4399,
Folklore,tv,Horror,2018,tt9397640,5.8,733,
Axios,tv,"Documentary, News, Talk-Show",2018,tt9322904,6.6,370,
"Gordon, Gino & Fred's Road Trip",tv,"Adventure, Comedy, Reality-TV",2018,tt9170584,8.4,2457,
"Horror at the Cecil Hotel",tv,"Crime, Documentary",2017,tt7529610,6.8,588,
"Três Mulheres",tv,"Biography, Drama, History",2018,tt7276352,7.8,258,
"Bahamas Life",tv,Reality-TV,2018,tt8041992,7,54,
"Crikey! It's the Irwins",tv,Documentary,2018,tt8994238,8.4,871,
"It Could Have Been Worse",tv,Comedy,2018,tt9040904,7.3,107,
"Sama slodycz",tv,Comedy,2014,tt4009854,5.4,19,
"What We Do in the Shadows",tv,"Comedy, Fantasy, Horror",2019,tt7908628,8.6,119036,
"Big Cat Tales",tv,Documentary,2018,tt9198016,7.9,159,
"Ultimate Thanksgiving Challenge",tv,Reality-TV,2018,tt12112730,7.3,31,
"The Undoing",tv,"Crime, Drama, Mystery",2020,tt8134470,7.4,112645,
"The Plot Against America",tv,"Drama, Thriller",2020,tt9308346,7.3,11982,
Grisse,tv,Drama,2018,tt7861584,6.2,478,
"Blood Runs Cold",tv,"Drama, Mystery, Reality-TV",2018,tt9387570,7.2,86,
"Border Control: Spain",tv,Reality-TV,2016,tt8006874,6.3,31,
,tv,,2018,,,,
,tv,,2018,,,,
"Justice League Unlimited",tv,"Action, Adventure, Animation",2004,tt6025022,8.7,23273,
"Vem kan slå Anja och Foppa?",tv,Game-Show,2018,tt9265196,6.6,15,
"Codes and Conspiracies",tv,Documentary,2014,tt3667284,6.7,121,
,tv,,2018,,,,
Jett,tv,"Crime, Drama, Thriller",2019,tt8594276,7.4,6631,
"SKY Castle",tv,"Drama, Mystery",2018,tt9151274,8.5,4754,
"Nicky Jam: El Ganador",tv,"Biography, Music",2018,tt7949200,7.6,1330,
"The Outsider",tv,"Crime, Drama, Horror",2020,tt8550800,7.6,107751,
,tv,,2018,,,,
"Mega Shippers",tv,Documentary,2016,tt6020016,7.5,15,
"Long Road to Monterey",tv,Reality-TV,2018,tt9417534,,,
"Camera Cafe",tv,Comedy,2004,tt0429327,6.3,100,
"Mônica Toy",tv,"Action, Adventure, Animation",2013,tt9308254,8.2,119,
"The Shivering Truth",tv,"Animation, Comedy, Fantasy",2018,tt6905458,8,3146,
"Gangs of London",tv,"Action, Crime, Drama",2020,tt7661390,8,48646,
"Legends of the Lost with Megan Fox",tv,"Documentary, History, Mystery",2018,tt8362844,6.2,432,
"Murder in the Heartland",tv,"Crime, Documentary",2017,tt7656606,7.5,566,
,tv,Reality,2016,,,,
"The Disappearance",tv,"Crime, Drama, Mystery",2018,tt9399222,7,1391,
"American Nightmare",tv,"Crime, Documentary, Drama",2019,tt9499884,7.4,102,
"The Night That Didn't End",tv,Crime,2018,tt9358600,7,75,
,tv,Documentary,1998,,,,
"Bad Chad Customs",tv,Reality-TV,2019,tt9397406,7,218,
Mixels,tv,"Adventure, Animation, Comedy",2014,tt3648886,4,499,
"Deadly Secrets",tv,Crime,2019,tt9416960,7.2,74,
"Killing Time",tv,Documentary,2019,tt9533596,7.6,52,
"The Titan Games",tv,"Game-Show, Reality-TV",2019,tt7967262,7.2,3679,
"Hometown Homicide",tv,"Crime, Documentary",2019,tt9769678,7.1,118,
Szóstka,tv,Drama,2019,tt9663612,6.3,30,
"The Other Two",tv,Comedy,2019,tt8310612,7.8,11744,
"Pagan Peak",tv,"Crime, Drama, Mystery",2018,tt6905756,8,11588,
,tv,,2017,,,,
"Entre Nós",tv,Talk-Show,2003,tt9289988,,,
"15: A Quinceañera Story",tv,Documentary,2017,tt7781198,7,60,
"Héroes cotidianos",tv,Documentary,2014,tt4003572,7.2,13,
"Single Long",tv,"Comedy, Short",2012,tt2505754,6.9,59,
Riphagen,tv,"Biography, Drama, War",2016,tt4969044,7.1,9080,
"Rust Valley Restorers",tv,"Documentary, Reality-TV",2018,tt9498102,7.7,3579,
"Perry Mason",tv,"Crime, Drama, History",2020,tt2077823,7.6,29980,
"Houdini's Last Secrets",tv,Documentary,2019,tt9324726,5.9,50,
"Demon Slayer: Kimetsu no Yaiba",tv,"Action, Adventure, Animation",2019,tt9335498,8.6,187816,
Patria,tv,Drama,2020,tt6625730,8.2,6957,
"Something's Killing Me",tv,Documentary,2017,tt26688257,8.4,27,
"Dr. Stone",tv,"Action, Adventure, Animation",2019,tt9679542,8.1,34816,
"Vote for Juan",tv,Comedy,2019,tt8387272,6.9,763,
"In Pursuit with John Walsh",tv,Reality-TV,2019,tt9657538,7.5,152,
"Gentleman Jack",tv,"Biography, Drama, History",2019,tt7211618,8.2,16740,
,tv,Documentary,2013,,,,
"Deadly Legacy",tv,Reality-TV,2018,tt10908342,7.4,50,
"The Lake Erie Murders",tv,"Crime, Documentary",2018,tt9412802,7,478,
Unmasked,tv,"Crime, Documentary",2018,tt9117882,7.4,40,
"The Devil Speaks",tv,Crime,2018,tt8923354,7.5,86,
"Gen: Lock",tv,"Action, Adventure, Animation",2018,tt7945066,7.1,1792,
,tv,,2017,,,,
"Windy City Rehab",tv,Reality-TV,2019,tt9307028,6.5,522,
"The Spanish Princess",tv,"Drama, History, Romance",2019,tt8417308,7,11688,
"Your Honor",tv,"Crime, Drama, Thriller",2020,tt7440726,7.6,76701,
"Ed Stafford: First Man Out",tv,Reality-TV,2019,tt9558734,8,418,
"It's Not Rocket Science",tv,Reality-TV,2016,tt5466928,7.1,41,
"The Case Against Adnan Syed",tv,"Crime, Documentary",2019,tt8425310,6.7,2852,
"Dead of Winter",tv,"Crime, Documentary",2019,tt9632280,7.5,292,
"American Titans",tv,Documentary,2015,tt5599116,7.4,51,
"To Catch a Killer",tv,Crime,2018,tt8942022,7.8,53,
"The Fiery Priest",tv,"Action, Comedy, Crime",2019,tt9674954,8.1,2394,
"Paranormal Caught on Camera",tv,"Documentary, Horror, Thriller",2019,tt9863048,6.1,1100,
"Primal Instinct",tv,"Crime, Documentary",2018,tt8205078,6.4,74,
"Love & Marriage: Huntsville",tv,Reality-TV,2019,tt9165512,5.5,271,
"Extreme Love",tv,Reality-TV,2018,tt9170196,5.5,67,
"Leo and Tig",tv,"Adventure, Animation, Short",2016,tt7358910,7.4,78,
"The North Water",tv,"Adventure, Drama, Mystery",2021,tt7660970,7.6,18023,
Thanksgiving,tv,"Drama, Thriller",2018,tt9458444,6,97,
Morten,tv,"Drama, Thriller",2019,tt8370354,6.9,344,
"Years and Years",tv,"Drama, Sci-Fi",2019,tt8694364,8.3,35578,
"Los Espookys",tv,"Comedy, Fantasy, Horror",2018,tt7721046,7.5,3000,
Chernobyl,tv,"Drama, History, Thriller",2019,tt7366338,9.3,950815,
"All Girls Garage",tv,Reality-TV,2012,tt2762476,6.1,177,
"What's My Name: Muhammad Ali",tv,"Biography, Documentary, Sport",2019,tt6328046,8.4,2567,
"The Bush Years: Family, Duty, Power",tv,"Documentary, History",2019,tt9787482,7.1,148,
"Tricky Dick",tv,"Biography, Documentary, History",2019,tt9635504,7.6,329,
"Bakugan: Battle Planet",tv,"Action, Adventure, Animation",2018,tt9527662,4.5,344,
"Alla mot alla med Filip och Fredrik",tv,Game-Show,2019,tt9859886,7.6,216,
Ramy,tv,"Comedy, Drama, Romance",2019,tt7649694,8,17377,
Equador,tv,"Drama, History, Romance",2008,tt1138474,7.8,370,PT
"I Love You, Now Die: The Commonwealth v. Michelle Carter",tv,"Crime, Documentary",2019,tt9614090,7.5,8630,
"The Oslo Killing",tv,"Crime, Documentary",2019,tt10385670,7.6,168,
"Katy Keene",tv,"Comedy, Drama, Musical",2020,tt10312964,6.2,2892,
"Darkness: Those Who Kill",tv,"Crime, Thriller",2019,tt9466596,7.5,6902,
"Very Scary People",tv,"Biography, Crime, Documentary",2019,tt10081386,7.5,729,
"60 Days on the Streets",tv,Documentary,2019,tt10035750,8.1,79,
"Hide and Seek",tv,"Crime, Drama, Thriller",2019,tt9612028,7.2,434,
"Andere Eltern",tv,Comedy,2019,tt10095376,6.9,211,
"Strange Evidence",tv,"Documentary, Mystery",2017,tt7538868,4.6,407,
"The Bay",tv,"Crime, Drama, Mystery",2019,tt8425404,7.2,13306,
"Buddy vs. Duff",tv,"Game-Show, Reality-TV",2019,tt9625944,5.8,351,
,tv,Reality,2019,,,,
"The World Between Us",tv,"Crime, Drama",2019,tt10073114,8.8,3085,
"Total DramaRama",tv,"Adventure, Animation, Comedy",2018,tt8526988,4,1118,
Intelligence,tv,Comedy,2020,tt9454736,6.3,4793,
"I Know This Much Is True",tv,Drama,2020,tt0425118,8.1,25299,
"Gold Rush: Dave Turin's Lost Mine",tv,Reality-TV,2019,tt9703198,6.4,489,
"Mediterranean Life",tv,Reality-TV,2017,tt13020234,8.2,99,
"Scooby-Doo and Guess Who?",tv,"Adventure, Animation, Comedy",2019,tt8456094,7.3,2530,
"Jeremy Wade's Dark Waters",tv,Documentary,2019,tt10274462,8.1,483,
"The New Pope",tv,Drama,2020,tt7157248,8,19817,
"Murder Decoded",tv,Crime,2018,tt8598266,7.2,70,
GameFace,tv,Comedy,2017,tt6620620,7.7,2483,
"Disasters at Sea",tv,History,2018,tt8273006,8.1,271,
,tv,Documentary,2019,,,,
"We Are Who We Are",tv,Drama,2020,tt9848536,7.3,10321,
"One of a Kind",tv,Documentary,2019,tt10981322,7.9,58,
"Savage Builds",tv,Documentary,2019,tt10233836,8,390,
,tv,,2014,,,,
,tv,Documentary,2019,,,,
"Portals to Hell",tv,Reality-TV,2019,tt9812514,6.3,1204,
"Married with Secrets",tv,"Crime, Documentary",2016,tt6012704,7.1,275,
,tv,"Mystery, Documentary",2019,,,,
"Mexico Life",tv,Reality-TV,2016,tt5533398,7,54,
"Heartbreak Island",tv,Reality-TV,2018,tt10726456,6.4,76,
"Otros Pecados",tv,Drama,2019,tt10673230,7.2,80,
"Are You Smarter Than a 5th Grader?",tv,"Comedy, Family, Game-Show",2019,tt9845152,6.4,98,
"Moonshiners: Whiskey Business",tv,Reality-TV,2019,tt10028418,7.4,30,
"Polly Pocket",tv,"Action, Adventure, Animation",2018,tt8673042,5.9,210,
"Pandora's Box: Unleashing Evil",tv,Crime,2016,tt6107486,7.9,150,
"On Tour with Asperger's Are Us",tv,"Comedy, Documentary",2019,tt9765222,7.1,118,
"Idris Elba: Fighter",tv,Reality-TV,2017,tt8220330,6.8,101,
Batwoman,tv,"Action, Adventure, Crime",2019,tt8712204,3.6,47457,
Usterka,tv,Reality-TV,2002,tt1990906,6,7,
,tv,"Reality, Documentary",2012,,,,
"Restoring Galveston",tv,Reality-TV,2019,tt10038720,7.7,231,
"44 Cats",tv,"Adventure, Animation, Comedy",2018,tt9699148,5.8,370,
"Duff Takes The Cake",tv,Reality-TV,2019,tt10202424,7.2,34,
"The Redemption Project with Van Jones",tv,"News, Talk-Show",2019,tt7816792,8.1,69,
Primal,tv,"Action, Adventure, Animation",2019,tt10332508,8.6,24875,
,tv,,2019,,,,
"Nancy Drew",tv,"Drama, Horror, Mystery",2019,tt10313176,6.7,11484,
"The Aquarium",tv,Reality-TV,2019,tt9780390,8.3,247,
