title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Hobbit",movie,"Adventure, Animation, Family",1977,tt0077687,6.7,17710,
Rocky,movie,"Drama, Sport",1976,tt0075148,8.1,660570,
"Rocky II",movie,"Drama, Sport",1979,tt0079817,7.3,240465,
"Rocky III",movie,"Drama, Sport",1982,tt0084602,6.8,219803,
"Blood Diamond",movie,"Adventure, Drama, Thriller",2006,tt0450259,8,607674,
"Rocky IV",movie,"Drama, Sport",1985,tt0089927,6.9,235804,
"Rocky V",movie,"Drama, Sport",1990,tt0100507,5.4,156076,
Stalker,movie,"Drama, Sci-Fi",1979,tt0079944,8,151418,
"The Pursuit of Happyness",movie,"Biography, Drama",2006,tt0454921,8,592193,
"Sex, Lies, and Videotape",movie,Drama,1989,tt0098724,7.2,62189,
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1488981,
"Once Upon a Time in Mexico",movie,"Action, Crime, Thriller",2003,tt0285823,6.3,173693,
"Superman Returns",movie,"Action, Adventure, Sci-Fi",2006,tt0348150,6.1,296161,
"Touch of Evil",movie,"Crime, Drama, Film-Noir",1958,tt0052311,7.9,112703,
Hellboy,movie,"Action, Adventure, Fantasy",2004,tt0167190,6.9,361421,
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,240291,
"The Last King of Scotland",movie,"Biography, Drama, History",2006,tt0455590,7.6,201235,
Flatliners,movie,"Drama, Horror, Sci-Fi",1990,tt0099582,6.6,96300,
"Down by Law",movie,"Comedy, Crime, Drama",1986,tt0090967,7.6,57152,
"The Spanish Apartment",movie,"Comedy, Drama, Romance",2002,tt0283900,7.3,43473,
Rope,movie,"Crime, Drama, Mystery",1948,tt0040746,7.9,160575,
"The Holiday",movie,"Comedy, Romance",2006,tt0457939,7,348807,
"School of Rock",movie,"Comedy, Music",2003,tt0332379,7.2,345548,
"Nowhere in Africa",movie,"Biography, Drama, History",2001,tt0161860,7.5,14469,
"A Shot in the Dark",movie,"Comedy, Crime, Mystery",1964,tt0058586,7.3,32484,
"Meet the Parents",movie,"Comedy, Romance",2000,tt0212338,7,368272,
"Liar Liar",movie,"Comedy, Fantasy",1997,tt0119528,6.9,350099,
"Vivre sa vie",movie,Drama,1962,tt0056663,7.8,36490,
"Jules and Jim",movie,"Drama, Romance",1962,tt0055032,7.7,45884,
"The People vs. Larry Flynt",movie,"Biography, Drama",1996,tt0117318,7.3,103459,
"Free Willy",movie,"Adventure, Drama, Family",1993,tt0106965,6.1,86164,
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,334437,
Speed,movie,"Action, Adventure, Thriller",1994,tt0111257,7.3,408934,
"The Recruit",movie,"Action, Thriller",2003,tt0292506,6.6,144953,
"The Dirty Dozen",movie,"Action, Adventure, War",1967,tt0061578,7.7,81757,
"The Legend of Zorro",movie,"Action, Adventure, Romance",2005,tt0386140,6,111344,
"Last Days",movie,"Drama, Music",2005,tt0403217,5.7,24351,
Ray,movie,"Biography, Drama, Music",2004,tt0350258,7.7,161459,
Godzilla,movie,"Horror, Sci-Fi",1954,tt0047034,7.6,43146,
"Godzilla Raids Again",movie,"Action, Horror, Sci-Fi",1955,tt0048127,5.7,9119,
"Mothra vs. Godzilla",movie,"Adventure, Fantasy, Sci-Fi",1964,tt0058379,6.5,11117,
Anatomy,movie,"Horror, Thriller",2000,tt0187696,6,14405,
"Anatomy 2",movie,"Horror, Sci-Fi, Thriller",2003,tt0312358,5.1,4055,
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,70133,
Giant,movie,"Drama, Western",1956,tt0049261,7.6,43857,
"The Last Metro",movie,"Drama, Romance, War",1980,tt0080610,7.3,16461,
"Santa Fe Trail",movie,"Drama, War, Western",1940,tt0033021,6.2,4355,
"The Soft Skin",movie,"Drama, Romance",1964,tt0058458,7.5,8785,
